Заказчик:,ICL
Изделие:,H610SB-TM
Партия:,20000

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Селективная пайка THT Pri, переналадка",1 c,1 ч,1 руб,2638 руб
Селективная пайка THT Pri,243 c,1345 ч,348 руб,6957500 руб
"Селективная пайка THT Sec, переналадка",1 c,1 ч,1 руб,2638 руб
Селективная пайка THT Sec,61 c,334 ч,87 руб,1725000 руб
Ремонт на cелективной пайке THT,16 с,84 ч,5 руб,85932 руб
Контроль на cелективной пайке THT,3 с,13 ч,1 руб,13455 руб
Отмывка,600 c,3334 ч,154 руб,3073948 руб
Рентгенконтроль,14 c,78 ч,6 руб,109434 руб
Cебестоимость,939 с,5190 ч,603 руб,11970545 руб
