Заказчик:,Элемент-Технологии
Изделие:,Плата силовая
Партия:,10

Стоимость подготовки производства
,Стоимость
Трафареты,60000 руб
Проверка документации,1500 руб
Создание EBOM,9060 руб
Итого,70560 руб

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",720 c,2 ч,2747 руб,27470 руб
Автоматический поверхностный монтаж SMT Pri,360 c,1 ч,1533 руб,15323 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",1080 c,3 ч,4121 руб,41205 руб
Автоматический поверхностный монтаж SMT Sec,360 c,1 ч,1533 руб,15323 руб
Ремонт на поверхностном монтаже,360 с,1 ч,103 руб,1023 руб
Контроль на поверхностном монтаже,360 с,1 ч,104 руб,1035 руб
"Селективная пайка THT Pri, переналадка",360 c,1 ч,264 руб,2638 руб
Селективная пайка THT Pri,360 c,1 ч,76 руб,755 руб
"Селективная пайка THT Sec, переналадка",360 c,1 ч,264 руб,2638 руб
Селективная пайка THT Sec,360 c,1 ч,26 руб,259 руб
Ремонт на cелективной пайке THT,360 с,1 ч,103 руб,1023 руб
Контроль на cелективной пайке THT,360 с,1 ч,104 руб,1035 руб
Ручной монтаж,360 c,1 ч,103 руб,1023 руб
Тестирование,360 с,1 ч,104 руб,1035 руб
Разделение,27 c,1 ч,151 руб,1508 руб
Cебестоимость,6147 с,18 ч,11336 руб,113293 руб
Cебестоимость с подготовкой производства,6147 с,18 ч,18392 руб,183853 руб
Итого с подготовкой производства без НДС,6147 с,18 ч,23909 руб,239008 руб
Итого с подготовкой производства,6147 с,18 ч,28690 руб,286809 руб
