Заказчик:,Энергосервис
Изделие:,UP_AddPort_W5550_ver.5.3
Партия:,2350

Стоимость подготовки производства
,Стоимость
Трафареты,30000 руб
Проверка документации,1500 руб
Создание EBOM,5400 руб
Итого,36900 руб

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",0 c,0 ч,0 руб,0 руб
Автоматический поверхностный монтаж SMT Pri,0 c,0 ч,0 руб,0 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",0 c,0 ч,0 руб,0 руб
Автоматический поверхностный монтаж SMT Sec,0 c,0 ч,0 руб,0 руб
Ремонт на поверхностном монтаже,50 с,32 ч,14 руб,32736 руб
Контроль на поверхностном монтаже,5 с,3 ч,2 руб,3105 руб
"Селективная пайка THT Pri, переналадка",2 c,1 ч,2 руб,2638 руб
Селективная пайка THT Pri,10 c,6 ч,13 руб,30130 руб
"Селективная пайка THT Sec, переналадка",2 c,1 ч,2 руб,2638 руб
Селективная пайка THT Sec,10 c,6 ч,14 руб,30884 руб
Ремонт на cелективной пайке THT,16 с,10 ч,5 руб,10230 руб
Контроль на cелективной пайке THT,4 с,2 ч,1 руб,2070 руб
Контроль после отмывки,74 c,48 ч,27 руб,62997 руб
Ручная лакировка,11 с,7 ч,4 руб,7245 руб
Разделение,16 c,12 ч,8 руб,18096 руб
Cебестоимость,200 с,128 ч,92 руб,202769 руб
Cебестоимость с подготовкой производства,200 с,128 ч,107 руб,239669 руб
Итого с подготовкой производства без НДС,200 с,128 ч,139 руб,311569 руб
Итого с подготовкой производства,200 с,128 ч,166 руб,373882 руб
